Sweet Corn Salsa,9,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Cranberry and Date Energy Bars,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Chocolate and Orange Energy Bar,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Coconut Energy Bar,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Peanut Butter and Date Energy Balls,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Coconut Energy Balls ,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Milk Chocolate and Cinnamon Bar,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Chilli Chocolate Bar,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Milk Chocolate and Corn Chips Bar ,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Churros,15,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Coke Bottle,12,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Coke Zero Bottle ,12,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Sprite Bottle,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
Fanta Bottle,10,Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP,Deliveroo
